Timestamp;Mode;Column1;Data;AX;AY;AZ;fAX;fAY;fAZ
18:12:33:341;RX;1474566; [app] INFO: ACCEL: ;1248;-960;2688;-19366745;71467957;78582176
18:12:33:585;RX;1474701; [app] INFO: ACCEL: ;-1952;-1280;-3968;-230105133;45451038;-14310348
18:12:34:039;RX;1474881; [app] INFO: ACCEL: ;2880;2976;-4352;-164789474;102268158;-119338127
18:12:34:725;RX;1475331; [app] INFO: ACCEL: ;-992;288;-352;-182839752;106003494;-125303284
18:12:34:960;RX;1476006; [app] INFO: ACCEL: ;384;1312;128;-170539154;129866226;-118942528
18:12:37:659;RX;1476231; [app] INFO: ACCEL: ;-704;-672;-224;-181995239;113939949;-121528748
18:12:40:677;RX;1479021; [app] INFO: ACCEL: ;2016;1824;-4736;-13530304;147766403;-23262204
18:12:41:393;RX;1482002; [app] INFO: ACCEL: ;160;3424;4512;-12889621;213445969;-111050407
18:12:41:621;RX;1482711; [app] INFO: ACCEL: ;2624;-4672;17312;-70100372;111271156;364405396
18:12:41:759;RX;1482936; [app] INFO: ACCEL: ;288;3584;-4448;-62208862;189207504;193603622
18:12:41:845;RX;1483071; [app] INFO: ACCEL: ;-1888;-8640;-6496;-101852371;-17736475;-56927864
18:12:41:982;RX;1483161; [app] INFO: ACCEL: ;12448;4800;-14080;174376907;111558769;-628115112
18:12:42:072;RX;1483296; [app] INFO: ACCEL: ;-32;-416;-12896;168846573;96479942;-1236238281
18:12:42:207;RX;1483386; [app] INFO: ACCEL: ;-2272;10912;14944;104889503;400103912;-295463501
18:12:42:341;RX;1483521; [app] INFO: ACCEL: ;16032;11136;-1056;530890442;754582275;-349811035
18:12:42:519;RX;1483656; [app] INFO: ACCEL: ;-576;-9664;-8192;493183624;352831085;-880252319
18:12:42:743;RX;1483836; [app] INFO: ACCEL: ;4064;5888;-9952;613334656;599265259;-153858728
18:12:43:465;RX;1484646; [app] INFO: ACCEL: ;-7552;-13632;6464;363065887;59532742;-1948152466
18:12:43:783;RX;1484781; [app] INFO: ACCEL: ;-5760;-11968;8640;128768127;-63557782;-877628113
18:12:43:931;RX;1485096; [app] INFO: ACCEL: ;-6976;3008;-3488;-163819962;-391825653;-1162535522
18:12:44:366;RX;1485231; [app] INFO: ACCEL: ;-2080;-4064;3616;-2498965;-637742432;-670287415
18:12:44:725;RX;1485771; [app] INFO: ACCEL: ;3744;6080;-3328;-7191304;-187217545;-93981189
18:12:46:529;RX;1486086; [app] INFO: ACCEL: ;608;1088;-1632;-40695522;-97063347;-1006605652
18:12:48:373;RX;1487841; [app] INFO: ACCEL: ;-576;672;-512;-64499886;-45075253;-962529297
18:12:49:949;RX;1489686; [app] INFO: ACCEL: ;384;288;-352;-45209118;-23681728;-91212085
18:12:50:052;RX;1491261; [app] INFO: ACCEL: ;1248;-512;160;8578755;-53337978;-829430786
18:12:50:124;RX;1491351; [app] INFO: ACCEL: ;0;-96;1024;8227694;-55803036;-694078247
18:12:50:217;RX;1491441; [app] INFO: ACCEL: ;96;512;1344;11678894;-24761873;-550591064
18:12:50:351;RX;1491531; [app] INFO: ACCEL: ;2208;1824;-2400;94911224;72100159;-676851196
18:12:50:486;RX;1491666; [app] INFO: ACCEL: ;768;-288;992;120525879;53544018;-566515015
18:12:50:577;RX;1491801; [app] INFO: ACCEL: ;1248;992;-1568;162395142;99848152;-630562439
18:12:50:667;RX;1491891; [app] INFO: ACCEL: ;928;992;-1440;190403763;142547455;-680131287
18:12:50:756;RX;1491981; [app] INFO: ACCEL: ;1376;-96;-768;232864197;131466431;-685278992
18:12:50:852;RX;1492071; [app] INFO: ACCEL: ;896;-320;-576;256316772;11133445;-679221252
18:12:50:936;RX;1492161; [app] INFO: ACCEL: ;-1696;512;-2272;188775452;128586182;-763051086
18:12:51:070;RX;1492251; [app] INFO: ACCEL: ;-2368;-768;2528;100057899;91290634;-593527832
18:12:51:161;RX;1492386; [app] INFO: ACCEL: ;-1024;-1280;1600;6050246;35584591;-479368774
18:12:51:268;RX;1492476; [app] INFO: ACCEL: ;-448;-1984;-64;42841507;-4533007;-457965881
18:12:51:388;RX;1492566; [app] INFO: ACCEL: ;1280;384;-2624;84775391;-2815029;-564945129
18:12:51:567;RX;1492701; [app] INFO: ACCEL: ;-1792;-1760;4928;21775705;-95334396;-295769318
18:12:51:747;RX;1492881; [app] INFO: ACCEL: ;2784;-160;-1664;114740784;-9782972;-366345428
18:12:51:837;RX;1493061; [app] INFO: ACCEL: ;1504;3360;-2048;162388351;30803896;-450977295
18:12:51:977;RX;1493151; [app] INFO: ACCEL: ;3904;-1216;5600;28978949;-16888779;-151774582
18:12:52:059;RX;1493286; [app] INFO: ACCEL: ;-1888;-1632;-672;212901077;-77821579;-179096725
18:12:52:150;RX;1493376; [app] INFO: ACCEL: ;2944;1120;-2080;3099487;-32920685;-274887329
18:12:52:239;RX;1493466; [app] INFO: ACCEL: ;576;2784;-512;319558899;71205795;-286673676
18:12:52:376;RX;1493556; [app] INFO: ACCEL: ;-288;544;-5536;298269257;88973305;-536372925
18:12:52:692;RX;1493691; [app] INFO: ACCEL: ;704;3360;-4448;312166443;208524948;-731708069
18:12:52:871;RX;1494096; [app] INFO: ACCEL: ;-608;-864;-864;28145343;168326477;-738467224
18:12:53:096;RX;1494186; [app] INFO: ACCEL: ;2080;-1472;-3392;340579681;107843437;-867777893
18:12:53:274;RX;1494411; [app] INFO: ACCEL: ;1088;64;-1504;365196198;106235031;-898833679
18:12:53:364;RX;1494591; [app] INFO: ACCEL: ;1184;160;32;391681519;108139221;-854986511
