Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,UL
18:10:18:658,-1312,-640,1056,-125.595047,18.598053,18.194338,128.2615973,579.6
18:10:18:835,-1056,32,1248,-135.14534,18.763018,30.786051,139.871708,579.6
18:10:18:926,-608,320,192,-140.038193,22.426836,32.459728,145.4898361,579.6
18:10:19:014,-864,-64,608,-147.522049,21.382113,38.392296,153.9282888,579.6
18:10:19:107,352,288,256,-142.337906,24.571922,40.637764,150.050947,579.6
18:10:19:198,-480,96,480,-145.84053,25.420832,45.144516,154.7698492,579.6
18:10:19:285,-608,224,-448,-150.617065,27.756483,40.093906,158.3143832,579.6
18:10:19:375,1472,-768,64,-133.866592,18.469437,40.338627,141.0269101,579.6
18:10:19:470,-288,64,-1088,-135.492035,19.002943,28.899702,139.8370343,579.6
18:10:19:606,256,-1088,128,-131.394089,6.1703,29.916496,134.8980206,579.6
18:10:19:693,-128,-64,-608,-131.358658,5.348596,23.425068,133.5381531,579.6
18:10:19:873,-96,448,256,-130.993332,10.479216,25.797491,133.9200416,579.6
18:10:19:962,160,-864,-1024,-128.015396,0.371884,15.148161,128.9090637,579.6
18:10:20:054,-896,-352,288,-135.839905,-3.723934,17.945162,137.0706982,579.6
18:10:20:230,352,-96,416,-131.459244,-8.03655,17.93819,132.9206441,579.6
18:10:20:525,-160,-896,-640,-131.748688,-18.151529,11.255666,133.468666,579.6
18:10:20:796,384,128,-480,-126.567741,-16.47654,6.25193,127.7887165,579.6
18:10:21:015,-544,64,-192,-130.761749,-15.562042,4.233535,131.752552,579.6
18:10:21:088,608,-160,160,-123.352402,-17.187508,5.809566,124.6794954,579.6
18:10:21:335,-1056,-608,1504,-132.748886,-23.781141,20.862566,136.4663184,579.6
18:10:21:401,608,-736,-1024,-125.223816,-31.733824,10.160542,129.5811572,579.6
18:10:21:493,-160,384,-992,-125.578674,-27.078312,-0.210167,128.4651023,579.6
18:10:21:830,256,448,-1152,-121.72171,-21.773903,-12.241194,124.258297,579.6
18:10:21:897,-704,32,160,-127.592453,-21.174549,-10.420064,129.7565926,579.6
18:10:22:334,608,-416,-192,-120.165321,-25.531313,-12.326324,123.4645317,579.6
18:10:22:391,416,576,-608,-114.727829,-18.914793,-18.537086,117.7449264,579.6
18:10:22:482,32,-1376,-320,-113.239098,-33.855267,-21.684513,120.1644312,579.6
18:10:22:573,-32,-96,-1088,-112.420738,-34.550144,-32.768097,122.0896513,579.6
18:10:22:708,32,608,-128,-110.978111,-27.436117,-33.768456,119.2023081,579.6
18:10:22:799,128,-288,-672,-108.607803,-30.325634,-40.415535,119.7861195,579.6
18:10:23:048,544,-608,-1376,-102.168137,-36.694134,-54.355946,121.4057517,579.6
18:10:23:157,1056,448,544,-90.705231,-31.34856,-48.011658,107.3093214,579.6
18:10:23:290,96,736,-448,-88.833473,-22.897728,-52.257874,105.5773521,579.6
18:10:23:383,0,320,-288,-87.948479,-19.105831,-54.753788,105.3467847,579.6
18:10:23:475,128,-352,-224,-85.81459,-22.771536,-56.535179,105.2564163,579.6
18:10:23:563,-64,320,32,-85.600227,-19.013592,-55.609924,103.8334204,579.6
18:10:23:651,672,0,32,-78.224846,-18.806,-54.702221,97.28887475,579.6
18:10:23:829,64,352,0,-76.833038,-14.79974,-54.140305,95.14999032,579.6
18:10:23:921,2720,2528,-1792,-49.652161,12.578907,-71.829681,88.22170405,579.6
18:10:24:010,-448,0,0,-53.698509,12.438173,-71.081009,89.94858452,579.6
18:10:24:098,0,224,-96,-53.154274,14.779544,-71.338425,90.18305077,579.6
18:10:24:240,544,-1024,-224,-47.156479,3.361551,-72.900063,86.8875867,579.6
18:10:24:415,-416,160,32,-50.867653,5.099549,-71.834648,88.16881634,579.6
18:10:24:508,-64,512,224,-50.999424,10.679431,-68.854057,86.34739521,579.6
18:10:24:597,224,-192,384,-48.266735,8.450533,-64.310516,80.85129364,579.6
18:10:24:684,-64,-96,160,-48.422382,7.309813,-62.062359,79.05628912,579.6
18:10:24:774,-352,-640,-256,-51.397144,0.302368,-63.995365,82.08023257,579.6
18:10:24:909,-160,-1408,-480,-52.457355,-14.973061,-68.116592,87.26876162,579.6
18:10:25:048,96,576,-256,-51.018997,-8.455096,-69.974815,87.01092712,579.6
18:10:25:180,160,-32,64,-48.988163,-8.714948,-68.65786,84.79205253,579.6
18:10:25:271,96,-160,160,-47.60033,-10.367134,-66.426147,82.37537186,579.6
18:10:25:365,32,-320,128,-46.843449,-13.722119,-64.538376,80.91852224,579.6
18:10:25:457,0,96,-32,-46.401535,-12.538779,-64.224281,80.21896097,579.6
18:10:25:546,-224,192,32,-48.062847,-10.351651,-63.303703,80.15330781,579.6
18:10:25:770,64,-64,0,-45.40435,-11.143336,-61.509544,77.26029342,579.6
18:10:25:866,224,-160,-128,-42.930676,-12.69399,-62.131378,76.57994813,579.6
18:10:25:955,-1184,384,1664,-53.368095,-8.592147,-46.116669,71.0543856,579.6
18:10:26:040,1056,64,1376,-43.085274,-7.843388,-32.596817,54.59315021,579.6
18:10:26:134,1024,-1760,1536,-33.069813,-25.757385,-17.408752,45.38854547,579.6
18:10:26:231,-448,160,64,-37.009617,-23.812239,-16.603815,47.03638112,579.6
18:10:26:350,-448,384,-1056,-40.907082,-19.570574,-26.796736,52.67316,579.6
18:10:26:486,-32,448,416,-40.822727,-14.718573,-22.408079,48.83905645,579.6
18:10:26:577,128,160,-32,-39.238609,-12.907524,-22.503038,47.03891295,579.6
18:10:26:759,-384,64,288,-42.454262,-12.115788,-19.458612,48.24722025,579.6
18:10:26:893,0,-32,-96,-42.059261,-12.318711,-20.206369,48.26001891,579.6
18:10:27:036,-320,0,352,-44.623569,-12.194217,-16.599886,49.14792014,579.6
18:10:27:208,288,-96,-96,-41.566059,-13.032902,-17.367466,46.89587051,579.6
18:10:27:300,-320,-576,-64,-44.118858,-18.620216,-17.814659,51.09352357,579.6
18:10:27:386,96,192,-64,-42.838837,-16.52733,-18.253763,49.41172387,579.6
18:10:27:474,-64,320,-192,-43.03093,-13.202424,-19.891581,49.21016085,579.6
18:10:27:563,-128,320,64,-43.795635,-9.920852,-19.105465,48.80061211,579.6
18:10:27:657,-96,-64,0,-44.262058,-10.451741,-18.927803,49.26084038,579.6
18:10:27:743,-192,192,-64,-45.571697,-8.481507,-19.343227,50.22823866,579.6
18:10:27:834,8352,1760,-512,28.431393,8.631594,-23.846527,38.09862692,579.6
18:10:27:924,4032,-576,2656,69.218323,2.832284,0.664642,69.27943288,579.6
18:10:28:013,768,160,3008,76.823601,4.393882,29.368835,82.363222,579.6
18:10:28:193,256,128,2112,78.779358,5.613719,50.23148,93.59969375,579.6
18:10:28:328,-512,128,-1536,72.377853,6.812642,33.850563,80.19243301,579.6
18:10:28:418,448,320,128,76.451408,9.858295,34.843109,84.59341588,579.6
18:10:28:512,-288,0,-992,72.512344,9.762761,24.110859,77.03690711,579.6
18:10:28:643,224,-1120,-576,74.143829,-1.082565,17.777428,76.2529755,579.6
18:10:28:823,352,-320,-704,77.113258,-4.182802,10.149994,77.89077462,579.6
18:10:28:959,672,-800,-1216,83.438126,-11.892956,-2.855066,84.32979707,579.6
18:10:29:141,1024,-1440,2400,93.449493,-25.812172,22.974922,99.63394505,579.6
18:10:29:231,-1248,-192,608,79.058525,-27.46167,29.492565,88.73671779,579.6
18:10:29:364,384,-1152,288,82.381081,-38.549953,32.373764,96.5443006,579.6
18:10:29:501,-352,128,-544,77.670952,-36.887547,25.988104,89.82677473,579.6
18:10:29:680,800,-288,832,85.485954,-39.377422,34.920765,100.3886922,579.6
18:10:29:772,-256,-416,-864,81.778671,-43.093502,24.91057,95.73576888,579.6
18:10:29:998,256,640,-64,83.662399,-36.369595,23.913979,94.30812711,579.6
18:10:30:177,320,192,1312,86.199127,-34.11348,38.21711,100.2724614,579.6
18:10:30:264,-160,-288,-256,83.572388,-36.608376,34.903648,97.6871633,579.6
18:10:30:488,-224,512,1696,80.309669,-31.242918,53.510151,101.4351967,579.6
18:10:30:761,-1280,128,-64,65.944099,-29.68383,52.16571,89.16846559,579.6
18:10:30:852,2368,32,-2912,90.648407,-29.083876,18.558229,96.9918213,579.6
18:10:31:031,1664,-64,-4224,108.113998,-29.42062,-31.790506,116.4682176,579.6
18:10:31:121,-864,608,-1152,97.109108,-23.327618,-46.029343,109.9684365,579.6
18:10:31:212,-160,736,-608,94.175751,-16.047272,-53.238823,109.3661707,579.6
18:10:31:348,1056,-1280,-1056,105.080582,-28.231352,-66.081154,127.3014409,579.6
18:10:31:434,1376,-1696,-1024,119.599236,-44.553173,-78.433853,149.8026427,579.6
18:10:31:622,416,608,320,123.031105,-38.019936,-73.265396,148.1552786,579.6
18:10:31:704,1600,800,64,140.035492,-29.605682,-71.493774,159.9931097,579.6
18:10:31:797,0,-96,-1312,138.395081,-30.276648,-87.343246,166.4293138,579.6
18:10:31:887,736,-608,-832,145.333679,-36.064163,-96.967476,178.3961701,579.6
18:10:32:022,1760,-352,-800,164.084808,-39.233597,-106.069664,199.2833986,579.6
18:10:32:109,-1248,224,1120,147.357224,-36.602741,-90.181099,176.5971198,579.6
18:10:32:248,-2656,-160,1984,113.621658,-37.830181,-63.003616,135.3161461,579.6
18:10:32:344,256,512,352,115.408394,-32.401619,-57.416595,132.9121052,579.6
18:10:32:432,352,1504,864,118.348885,-17.217237,-45.076492,127.8075974,579.6
18:10:32:514,-928,-832,736,105.443909,-25.433542,-34.566479,113.8425425,579.6
18:10:32:608,3744,864,192,150.688858,-16.410767,-31.511963,154.8206996,579.6
18:10:32:741,1024,-192,-1664,162.185257,-18.205173,-53.3251,171.6946481,579.6
18:10:32:834,-2240,2592,-768,130.43544,8.291372,-63.052086,145.1127713,579.6
18:10:32:919,-1120,1152,-2784,113.350998,20.378298,-100.10302,152.5920653,579.6
18:10:33:012,-448,-448,2592,105.598145,15.36931,-61.997089,123.4132204,579.6
18:10:33:100,-2432,1216,2304,70.645889,28.191113,-27.222649,80.78770391,579.6
18:10:33:191,3904,-448,-2528,125.333771,23.03998,-65.133728,143.1146301,579.6
18:10:33:284,800,-1856,1344,135.539932,2.741799,-43.054676,142.2402747,579.6
18:10:33:417,640,2560,-1280,143.15744,31.086832,-62.666058,159.3344865,579.6
18:10:33:503,-2816,2240,-5792,98.700447,56.526588,-154.261917,191.6605657,579.6
18:10:33:600,-1152,-2112,-3808,79.110199,30.758499,-218.228378,234.1540813,579.6
18:10:33:686,4864,-256,-1888,154.718781,27.246771,-249.019028,294.4329534,579.6
18:10:33:773,-2752,3328,3456,105.249214,67.405968,-179.736969,218.9208524,579.6
18:10:33:866,-800,-1504,-288,89.235481,47.286003,-181.868637,208.026773,579.6
18:10:33:953,1856,-224,-1792,120.492218,43.750042,-213.025467,248.6207762,579.6
18:10:34:049,-1376,544,-5600,93.574539,50.220909,-318.515869,335.7539171,579.6
18:10:34:179,1952,32,-704,127.376663,49.985928,-326.700378,354.1984532,579.6
18:10:34:274,-1120,-1152,7104,104.281059,34.676727,-171.047638,203.3084089,579.6
18:10:34:362,-1664,640,768,71.348907,42.470173,-148.984711,170.5603302,579.6
18:10:34:542,-1184,2112,3584,47.600609,69.090752,-61.71978,104.1570028,579.6
18:10:34:632,3008,1632,-5568,103.918457,89.749985,-196.658707,239.8515219,579.6
18:10:34:720,-1600,-160,896,70.262512,86.391273,-167.720047,201.3213521,579.6
18:10:34:809,-2560,-640,4064,17.61422,76.704666,-56.213081,96.7149265,579.6
18:10:34:900,-1728,64,-1184,-18.405788,76.53508,-87.550072,117.734475,579.6
18:10:35:035,5280,2496,-4416,92.375793,108.41362,-207.136536,251.3808757,579.6
18:10:35:136,1184,672,-416,117.048103,116.092613,-213.223831,269.5220869,579.6
18:10:35:262,-3072,-1216,5248,45.059879,97.987442,-57.937256,122.4281713,579.6
18:10:35:439,-3200,-576,288,-31.037506,88.712296,-47.359962,105.2433572,579.6
18:10:35:530,-640,-192,3424,-45.874119,84.851021,56.32177,111.6972351,579.6
18:10:35:621,-3264,3808,2080,-123.324707,135.648773,118.960106,218.5430845,579.6
18:10:35:711,4608,-704,-2752,-5.154162,123.517601,29.384277,127.069268,579.6
18:10:35:802,-3840,864,1024,-107.207283,134.23819,61.150761,182.3532527,579.6
18:10:35:890,-2336,3296,2176,-169.290268,180.018997,127.866219,278.2369567,579.6
18:10:35:980,6688,4832,-96,24.592518,250.551041,120.739708,279.21084,579.6
18:10:36:072,-1824,8192,192,-32.99131,380.014099,122.947746,400.7683748,579.6
18:10:36:162,-576,96,-800,-49.982601,374.748138,95.170876,389.8614151,579.6
18:10:36:251,256,5152,2304,-40.600864,462.196594,160.861008,491.0706523,579.6
18:10:36:346,3136,-512,4000,54.460453,443.044006,276.48938,525.0717184,579.6
18:10:36:429,-2176,2368,6112,-14.338127,480.867676,459.79538,665.4705818,579.6
18:10:36:523,1760,1632,3200,41.048191,503.887482,552.659546,749.0127651,579.6
18:10:36:609,-512,640,608,23.731771,506.616241,554.569519,751.5121849,579.6
18:10:36:701,1504,-1152,1504,69.154938,473.931183,586.277954,757.0435992,579.6
18:10:36:790,2240,416,-4192,135.640549,472.775238,429.017822,652.6645967,579.6
18:10:36:880,-2848,-1664,1024,43.246929,430.925385,449.724304,624.3548141,579.6
18:10:36:972,-800,928,-1024,16.455267,440.873718,399.591156,595.2423901,579.6
18:10:37:061,3360,2624,-4640,121.097282,484.126465,229.073044,549.106042,579.6
18:10:37:239,-256,-832,-160,108.912994,457.463776,215.101974,517.1112122,579.6
18:10:37:419,3168,448,1920,205.359985,457.271027,274.644165,571.5758331,579.6
18:10:37:602,19552,5568,7520,831.68512,559.308472,527.189758,1132.455362,579.6
18:10:37:780,2816,5728,7488,916.953003,670.602051,794.31543,1386.162661,579.6
18:10:38:005,6560,-1408,-14848,1158.281738,622.36438,139.106583,1322.234717,579.6
18:10:38:096,-1344,-2688,-4160,1044.602783,544.236267,-84.98317,1180.936166,579.6
18:10:38:273,-2912,-5312,4192,864.452026,400.48938,144.151489,963.5604291,579.6
18:10:38:410,10144,-2560,8768,1299.046143,321.476715,618.120667,1474.089997,579.6
18:10:38:547,512,1504,-1088,1257.643921,353.986786,514.834534,1404.289669,579.6
18:10:39:141,2048,2816,672,1297.732666,421.377045,524.094055,1461.623503,579.6
18:10:39:312,-320,512,-192,1218.4646,423.907043,484.133789,1377.947273,579.6
18:10:39:490,-480,448,96,1136.684814,424.562561,463.341431,1298.842183,579.6
18:10:39:719,864,448,-2240,1123.753052,425.183655,324.874268,1244.646678,579.6
18:10:39:943,544,-128,-640,1023.813538,374.403687,233.192703,1114.787477,579.6
18:10:40:033,0,-1312,-672,979.354675,331.420441,189.699677,1051.171278,579.6
18:10:40:165,-224,-96,-704,928.292114,320.447968,148.020355,993.1380441,579.6
18:10:40:300,-480,-96,0,869.643677,309.937897,141.31221,933.9757843,579.6
18:10:40:449,-160,192,32,827.366577,307.011139,136.559631,892.9948628,579.6
18:10:40:980,928,64,-3200,831.414062,301.113037,-2.751335,884.2657821,579.6
18:10:41:064,768,-320,224,828.957397,286.325439,6.917331,877.0407474,579.6
18:10:41:205,128,-192,-1824,802.783325,275.067261,-68.285751,851.343649,579.6
18:10:41:381,-1600,64,448,715.123535,270.168335,-47.201054,765.9115739,579.6
18:10:41:561,-544,3328,672,668.752991,339.817688,-18.702072,750.370836,579.6
18:10:41:650,-192,-1024,-672,637.4375,307.631683,-43.947201,709.1510243,579.6
18:10:42:100,-32,224,-608,613.547241,305.65213,-65.196594,688.5593928,579.6
18:10:42:191,0,480,1312,592.132812,309.690063,-14.654129,668.3890676,579.6
18:10:42:370,160,-128,576,577.386169,299.748749,6.810234,650.5924069,579.6
18:10:42:683,-3712,-7104,288,434.65741,133.913727,16.782696,455.128124,579.6
18:10:42:774,-1024,1600,-224,383.794586,170.669662,8.490976,420.1172627,579.6
18:10:42:914,-704,800,480,346.109436,186.501541,24.260633,393.9075333,579.6
18:10:43:270,1312,-704,-32,379.130524,164.380966,22.423279,413.8403794,579.6
18:10:43:404,160,-96,448,371.751495,157.960098,35.896858,405.5109752,579.6
18:10:43:584,-704,-128,320,336.558014,151.043198,44.687328,371.5942703,579.6
18:10:43:772,672,-640,-544,347.40567,132.256744,26.921986,372.7027491,579.6
18:10:43:855,736,0,512,359.657623,129.141251,41.29414,384.3647675,579.6
18:10:43:943,-32,576,-64,347.596344,139.45195,38.235661,376.4731471,579.6
18:10:44:033,-32,-1056,-512,336.169586,112.255028,22.672319,355.1411211,579.6
18:10:44:125,320,-416,-1600,335.693573,100.229836,-22.4398,351.0551803,579.6
18:10:44:348,-160,1888,800,321.51416,140.431763,0.508303,350.8456833,579.6
18:10:44:530,-544,-896,-320,297.212524,116.841438,-8.331075,319.463007,579.6
18:10:44:844,-320,-480,-480,280.072235,103.289917,-21.069174,299.2543632,579.6
18:10:45:789,672,-32,384,290.789307,100.251259,-10.319547,307.758394,579.6
18:10:46:060,-256,0,256,276.124542,98.043213,-3.380408,293.0335501,579.6
18:10:46:601,224,224,320,274.748596,100.762962,4.874147,292.6836566,579.6
18:10:46:691,-2400,-768,640,205.888351,82.355217,20.782419,222.7202366,579.6
18:10:47:004,384,256,288,210.591492,86.019424,27.392876,229.1254841,579.6
18:10:47:096,128,160,-544,208.459351,87.553482,13.527004,226.5036271,579.6
18:10:47:185,-608,64,-192,187.879333,87.07431,8.603374,207.2549089,579.6
18:10:47:730,320,0,-384,191.179459,85.337379,-0.618709,209.3619751,579.6
18:12:21:234,-704,-480,576,26.766279,168.241196,8.758143,170.5820588,939.98
18:12:21:325,-2016,1984,96,-3.032218,195.304382,10.175572,195.5927868,939.98
18:12:21:416,-1024,-544,1824,-18.302029,184.058868,39.223648,189.0796809,939.98
18:12:21:507,-960,-288,1600,-32.457813,176.883011,64.703102,191.1219522,939.98
18:12:21:603,-1216,448,1792,-50.310703,180.980347,93.299789,209.7377016,939.98
18:12:21:685,256,256,192,-45.652779,182.103195,94.96183,210.3889232,939.98
18:12:21:779,-224,-544,-1856,-48.340317,171.379807,62.590416,188.7468799,939.98
18:12:21:865,480,768,-1088,-40.469315,180.186935,43.09045,189.6361882,939.98
18:12:22:137,352,-512,896,-34.648319,169.999329,57.626003,182.8142065,939.98
18:12:22:228,1024,-256,-384,-19.056559,163.73613,50.101707,172.2871259,939.98
18:12:22:362,-768,-288,-32,-30.153637,157.135818,48.714375,167.2542898,939.98
18:12:22:541,-224,-832,-1056,-33.025684,142.764877,30.327734,149.6404937,939.98
18:12:22:721,32,0,928,-32.072697,140.680527,45.343079,151.2470277,939.98
18:12:22:813,-1248,-800,-224,-49.657913,127.106224,40.833679,142.4404782,939.98
18:12:22:900,-672,-608,-800,-58.742767,116.455437,26.914721,133.1802676,939.98
18:12:23:037,1568,608,-1408,-35.050419,123.577316,3.161851,128.4907865,939.98
18:12:23:125,0,384,-320,-34.531136,127.332672,-2.248992,131.951001,939.98
18:12:23:265,1216,864,192,-16.261961,137.858337,0.970178,138.8175555,939.98
18:12:23:349,448,288,384,-9.412431,140.004089,7.238278,140.5066954,939.98
18:12:23:529,-704,-128,608,-19.603493,136.21669,16.984062,138.6641336,939.98
18:12:23:666,64,-160,-192,-18.378042,132.067108,13.608526,134.0323298,939.98
18:12:23:804,-192,1024,-1632,-20.890341,144.461197,-12.656625,146.5115488,939.98
18:12:23:936,1600,416,-2592,2.308425,148.248184,-54.490147,157.9621126,939.98
18:12:24:162,-928,1504,1312,15.509564,155.853912,-53.153221,165.3972592,939.98
18:12:24:253,192,0,-704,18.147009,153.665833,-64.27877,167.5537599,939.98
18:12:24:436,992,192,-896,32.535694,154.198196,-78.436096,176.0337359,939.98
18:12:24:566,896,512,-608,45.348866,159.102814,-87.444244,187.1275524,939.98
18:12:24:703,-256,672,-416,40.867496,166.087311,-92.99688,194.6883838,939.98
18:12:25:628,448,704,-2944,46.868687,173.387177,-140.684616,228.1489604,939.98
