,Timestamp,AX,AY,AZ,fAX,fAY,fAZ,Amag,UL,SMA50AX,SMA50AY,SMA50AZ,AMAG,std,2std,3std
14,18:10:10:422000,864,-352,-448,-307.946533,151.773346,-21.802143,344.0080656,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
15,18:10:10:512000,96,384,-32,-301.593811,157.602509,-21.930317,340.9960652,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
16,18:10:10:600000,192,224,192,-293.890656,159.235718,-19.274324,334.8122327,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
17,18:10:10:692000,224,160,192,-285.855164,159.254089,-16.672525,327.6476961,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
18,18:10:10:784000,256,224,256,-277.491882,160.773941,-13.341623,320.9797557,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
19,18:10:10:874000,160,32,-32,-270.771057,157.816681,-13.568012,313.6991569,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
20,18:10:11:006000,-96,192,192,-268.104034,158.585999,-11.102776,311.6930602,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
21,18:10:11:097000,416,32,-96,-257.786072,155.797928,-12.112912,301.4521122,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
22,18:10:11:232000,544,-32,-256,-245.712311,151.740768,-14.985456,289.1787757,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
23,18:10:11:324000,-128,320,288,-243.938446,155.312027,-11.441381,289.4109472,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
24,18:10:11:411000,0,480,128,-240.308594,162.082443,-9.819513,290.0264842,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
25,18:10:11:591000,384,-384,96,-226.30217,154.86734,-9.229645,274.375202,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
26,18:10:11:683000,224,-352,96,-219.736694,144.714798,-8.040026,263.2322728,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
27,18:10:11:776000,-224,-96,64,-219.798508,139.940994,-7.233043,260.6668042,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
28,18:10:11:862000,-160,-32,-160,-218.943863,136.581635,-8.927773,258.2066291,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
29,18:10:11:953000,-64,-64,0,-216.758011,132.724823,-8.829522,254.3184508,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
30,18:10:12:043000,0,-64,160,-213.733444,128.998932,-6.991453,249.7430479,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
31,18:10:12:134000,96,-96,288,-209.452774,124.800598,-3.80382,243.8444645,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
32,18:10:12:221000,0,224,160,-206.580048,126.625717,-2.042483,242.3088116,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
33,18:10:12:358000,-96,-32,96,-205.077744,123.754387,-0.996094,239.5266615,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
34,18:10:12:489000,-32,672,0,-202.752823,133.532257,-0.985555,242.7767333,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
35,18:10:12:584000,-128,128,192,-201.758606,133.43428,1.035008,241.893186,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
36,18:10:12:670000,-128,96,-224,-200.789062,132.782745,-1.305607,240.7264202,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
37,18:10:12:851000,-96,-704,32,-199.427521,118.457382,-0.96123,231.9577794,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
38,18:10:12:943000,-224,64,32,-199.743347,117.525711,-0.62368,231.7543665,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
39,18:10:13:031000,-96,256,224,-198.426208,119.857414,1.654819,231.8221261,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
40,18:10:13:214000,-32,736,96,-196.335449,130.088333,2.606424,235.5363589,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
41,18:10:13:349000,-192,-64,64,-196.281479,126.879753,3.220628,233.7418729,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
42,18:10:13:480000,-96,-1088,96,-195.048462,107.047112,4.140749,222.5311945,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
43,18:10:13:573000,352,-32,512,-188.390717,104.760284,9.137048,215.7527868,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
44,18:10:13:661000,96,64,96,-184.93425,104.098969,9.991788,212.4549552,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
45,18:10:13:755000,352,320,-544,-178.450516,107.548714,4.584289,208.4042424,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
46,18:10:13:843000,-416,96,0,-181.31488,107.366318,4.539488,210.7681639,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
47,18:10:13:933000,-448,-416,1056,-184.507156,99.226997,14.716548,210.0130099,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
48,18:10:14:111000,-832,-1280,-1408,-192.206482,77.888252,0.794119,207.3898314,579.6,,,,,395.25898789896104,790.5179757979221,1185.776963696883
49,18:10:14:249000,-448,-544,-1696,-195.250839,68.156013,-16.112698,207.431317,579.6,-555.52,366.08,183.04,690.0149841851262,395.25898789896104,790.5179757979221,1185.776963696883
50,18:10:14:337000,448,96,416,-187.646912,68.590294,-11.706418,200.1325367,579.6,-553.6,390.4,213.12,710.1445306414744,395.25898789896104,790.5179757979221,1185.776963696883
51,18:10:14:429000,-576,-320,-640,-192.241714,62.619251,-18.102747,202.9920113,579.6,-583.68,383.36,184.96,722.3970055308922,395.25898789896104,790.5179757979221,1185.776963696883
52,18:10:14:564000,-352,-224,-512,-194.12413,58.248539,-23.142092,203.9917316,579.6,-420.48,98.56,56.96,435.6167416433854,395.25898789896104,790.5179757979221,1185.776963696883
53,18:10:14:651000,192,-128,-800,-189.613251,55.435265,-31.065207,199.9782504,579.6,-469.12,-212.48,139.52,533.5608261482471,395.25898789896104,790.5179757979221,1185.776963696883
54,18:10:14:744000,416,512,-32,-182.566513,62.25396,-31.074789,195.3758678,579.6,-462.72,-212.48,119.68,523.0495685879113,395.25898789896104,790.5179757979221,1185.776963696883
55,18:10:14:834000,0,-64,224,-180.441513,60.379417,-28.48645,192.3961835,579.6,-255.36,-158.72,178.56,349.6919238415437,395.25898789896104,790.5179757979221,1185.776963696883
56,18:10:14:920000,192,416,384,-176.140869,65.595154,-24.321917,189.5254221,579.6,-261.76,-281.6,47.36,387.3755635039464,395.25898789896104,790.5179757979221,1185.776963696883
57,18:10:15:101000,-672,-448,-704,-181.842957,58.119324,-31.170956,193.4330513,579.6,-240.64,-121.6,99.84,287.51033929234615,395.25898789896104,790.5179757979221,1185.776963696883
58,18:10:15:193000,-96,-32,-1088,-180.857468,56.81329,-41.856129,194.1368311,579.6,-163.2,-12.8,-60.8,174.62737471542084,395.25898789896104,790.5179757979221,1185.776963696883
59,18:10:15:325000,-32,-576,-800,-179.1651,47.757328,-49.603447,191.94113,579.6,-19.84,35.2,-195.2,199.33816894915032,395.25898789896104,790.5179757979221,1185.776963696883
60,18:10:15:418000,-160,416,160,-178.94902,53.017582,-47.451401,192.5753131,579.6,32.64,37.12,-104.96,116.01666087247985,395.25898789896104,790.5179757979221,1185.776963696883
61,18:10:15:515000,224,512,-992,-174.454971,59.528622,-57.090576,192.9702765,579.6,1.28,41.6,-120.96,127.91997498436278,395.25898789896104,790.5179757979221,1185.776963696883
62,18:10:15:696000,-128,160,0,-173.938492,60.946674,-56.503067,192.7736825,579.6,-7.04,3.2,-102.4,102.69158485484584,395.25898789896104,790.5179757979221,1185.776963696883
63,18:10:15:778000,-480,-1184,512,-177.3069,43.585735,-50.705738,189.4954484,579.6,-14.08,-35.84,-83.2,91.67874344688632,395.25898789896104,790.5179757979221,1185.776963696883
64,18:10:15:867000,320,-224,288,-171.860519,39.815197,-47.248165,182.6298908,579.6,-24.96,-33.28,-68.48,80.12534180894332,395.25898789896104,790.5179757979221,1185.776963696883
65,18:10:15:955000,448,-672,-64,-165.079453,29.872219,-47.418579,174.3332926,579.6,-17.92,-54.4,-69.12,89.76670206708053,395.25898789896104,790.5179757979221,1185.776963696883
66,18:10:16:136000,672,32,-512,-148.905075,16.268379,-48.105419,157.3261353,579.6,-8.32,-58.24,-83.2,101.89877329978022,395.25898789896104,790.5179757979221,1185.776963696883
67,18:10:16:227000,224,-1760,384,-144.790955,-8.34306,-43.765182,151.4906547,579.6,-8.32,-96.64,-79.36,125.32566217658696,395.25898789896104,790.5179757979221,1185.776963696883
68,18:10:16:319000,-512,96,512,-148.827591,-6.86713,-38.19109,153.8030191,579.6,-23.68,-99.2,-74.24,126.14658140433295,395.25898789896104,790.5179757979221,1185.776963696883
69,18:10:16:407000,160,-736,1216,-145.445251,-17.057774,-25.599945,148.6628598,579.6,-23.68,-114.56,-49.28,126.93799431218376,395.25898789896104,790.5179757979221,1185.776963696883
70,18:10:16:496000,320,768,736,-140.372025,-6.081149,-17.842096,141.6320097,579.6,-15.36,-103.04,-38.4,111.03031658065288,395.25898789896104,790.5179757979221,1185.776963696883
71,18:10:16:586000,-64,0,0,-139.540985,-5.995997,-17.659473,140.7817299,579.6,-24.96,-103.68,-36.48,112.70906973265285,395.25898789896104,790.5179757979221,1185.776963696883
72,18:10:16:678000,-96,288,992,-139.071594,-1.935648,-7.426137,139.2831738,579.6,-37.76,-97.28,-11.52,104.98536278929554,395.25898789896104,790.5179757979221,1185.776963696883
73,18:10:16:812000,-512,480,416,-143.052536,4.667717,-3.092677,143.162077,579.6,-45.44,-94.08,-8.96,104.86239364042764,395.25898789896104,790.5179757979221,1185.776963696883
74,18:10:16:908000,224,544,640,-139.147095,12.026939,3.476843,139.7091613,579.6,-40.96,-92.8,1.28,101.4455518985431,395.25898789896104,790.5179757979221,1185.776963696883
75,18:10:16:992000,192,-160,512,-135.635452,9.68658,8.684598,136.2579462,579.6,-44.8,-88.32,9.6,99.49684618117298,395.25898789896104,790.5179757979221,1185.776963696883
76,18:10:17:083000,-608,-32,864,-140.624542,9.125163,17.442318,141.9956509,579.6,-61.44,-81.92,24.96,105.39811003998126,395.25898789896104,790.5179757979221,1185.776963696883
77,18:10:17:169000,-224,64,-896,-141.504089,9.854973,8.027482,142.0738124,579.6,-61.44,-78.72,5.76,100.0244450122069,395.25898789896104,790.5179757979221,1185.776963696883
78,18:10:17:263000,-224,-128,-1056,-142.366699,8.04367,-3.023798,142.6258075,579.6,-62.72,-80.64,-12.16,102.88087091388758,395.25898789896104,790.5179757979221,1185.776963696883
79,18:10:17:350000,608,256,224,-134.589111,11.268114,-0.640964,135.0615046,579.6,-49.28,-74.24,-7.68,89.43756705098814,395.25898789896104,790.5179757979221,1185.776963696883
80,18:10:17:441000,32,-416,-704,-132.854736,5.756361,-7.979541,133.2185784,579.6,-48.64,-81.28,-24.96,97.95554910264146,395.25898789896104,790.5179757979221,1185.776963696883
81,18:10:17:579000,608,416,704,-125.195953,11.025173,-0.52539,125.6815703,579.6,-38.4,-71.04,-16.64,82.45078046932001,395.25898789896104,790.5179757979221,1185.776963696883
82,18:10:17:670000,-160,224,-992,-125.557289,13.747627,-10.942936,126.7808263,579.6,-41.6,-71.04,-39.68,91.38787665768365,395.25898789896104,790.5179757979221,1185.776963696883
83,18:10:17:756000,672,32,160,-117.356468,13.978971,-9.130621,118.5382658,579.6,-26.24,-69.76,-38.4,83.8424427125069,395.25898789896104,790.5179757979221,1185.776963696883
84,18:10:17:893000,608,-96,96,-109.857414,12.601969,-8.024001,110.8685962,579.6,-13.44,-85.12,-36.48,93.57798031588415,395.25898789896104,790.5179757979221,1185.776963696883
85,18:10:17:979000,96,-128,160,-107.720703,10.85954,-6.270139,108.4481171,579.6,-8.96,-90.24,-37.12,97.98690524758906,395.25898789896104,790.5179757979221,1185.776963696883
86,18:10:18:072000,-224,224,96,-108.920097,13.475825,-5.21014,109.8741596,579.6,-10.88,-87.68,-30.72,93.54076758291008,395.25898789896104,790.5179757979221,1185.776963696883
87,18:10:18:160000,-416,480,96,-112.062439,19.156759,-4.169787,113.7644882,579.6,-17.28,-64.0,-29.44,72.53490194382287,395.25898789896104,790.5179757979221,1185.776963696883
88,18:10:18:253000,352,-352,256,-107.333221,14.650345,-1.517373,108.3390759,579.6,-5.76,-72.32,-24.96,76.72262769222648,395.25898789896104,790.5179757979221,1185.776963696883
89,18:10:18:341000,224,-864,-288,-103.959991,4.032856,-4.423461,104.1321788,579.6,0.64,-94.72,-35.2,101.0511157781051,395.25898789896104,790.5179757979221,1185.776963696883
90,18:10:18:433000,-192,832,512,-104.853096,14.09005,0.791959,105.7985276,579.6,-2.56,-92.8,-26.88,96.64847644945056,395.25898789896104,790.5179757979221,1185.776963696883
91,18:10:18:568000,-960,1056,672,-113.455795,26.798622,7.571406,116.8234127,579.6,-17.92,-70.4,-14.72,74.1212843925414,395.25898789896104,790.5179757979221,1185.776963696883
92,18:10:18:658000,-1312,-640,1056,-125.595047,18.598053,18.194338,128.2615973,579.6,-42.24,-61.44,4.48,74.69378555140983,395.25898789896104,790.5179757979221,1185.776963696883
93,18:10:18:835000,-1056,32,1248,-135.14534,18.763018,30.786051,139.871708,579.6,-70.4,-60.16,19.2,94.57285868577729,395.25898789896104,790.5179757979221,1185.776963696883
94,18:10:18:926000,-608,320,192,-140.038193,22.426836,32.459728,145.4898361,579.6,-84.48,-55.04,21.12,103.01614630726584,395.25898789896104,790.5179757979221,1185.776963696883
95,18:10:19:014000,-864,-64,608,-147.522049,21.382113,38.392296,153.9282888,579.6,-108.8,-62.72,44.16,133.1215384526486,395.25898789896104,790.5179757979221,1185.776963696883
96,18:10:19:107000,352,288,256,-142.337906,24.571922,40.637764,150.050947,579.6,-93.44,-58.88,49.28,120.93968083304999,395.25898789896104,790.5179757979221,1185.776963696883
97,18:10:19:198000,-480,96,480,-145.84053,25.420832,45.144516,154.7698492,579.6,-94.08,-48.64,37.76,112.43982212721612,395.25898789896104,790.5179757979221,1185.776963696883
98,18:10:19:285000,-608,224,-448,-150.617065,27.756483,40.093906,158.3143832,579.6,-89.6,-18.56,56.96,107.78253661887904,395.25898789896104,790.5179757979221,1185.776963696883
99,18:10:19:375000,1472,-768,64,-133.866592,18.469437,40.338627,141.0269101,579.6,-51.2,-23.04,92.16,107.91546321079292,395.25898789896104,790.5179757979221,1185.776963696883
100,18:10:19:470000,-288,64,-1088,-135.492035,19.002943,28.899702,139.8370343,579.6,-65.92,-23.68,62.08,93.5954870706916,395.25898789896104,790.5179757979221,1185.776963696883
101,18:10:19:606000,256,-1088,128,-131.394089,6.1703,29.916496,134.8980206,579.6,-49.28,-39.04,77.44,99.74764959636893,395.25898789896104,790.5179757979221,1185.776963696883
102,18:10:19:693000,-128,-64,-608,-131.358658,5.348596,23.425068,133.5381531,579.6,-44.8,-35.84,75.52,94.84100379055464,395.25898789896104,790.5179757979221,1185.776963696883
103,18:10:19:873000,-96,448,256,-130.993332,10.479216,25.797491,133.9200416,579.6,-50.56,-24.32,96.64,111.74553950829537,395.25898789896104,790.5179757979221,1185.776963696883
104,18:10:19:962000,160,-864,-1024,-128.015396,0.371884,15.148161,128.9090637,579.6,-55.68,-51.84,76.8,108.10128583879103,395.25898789896104,790.5179757979221,1185.776963696883
105,18:10:20:054000,-896,-352,288,-135.839905,-3.723934,17.945162,137.0706982,579.6,-73.6,-57.6,78.08,121.783440582043,395.25898789896104,790.5179757979221,1185.776963696883
106,18:10:20:230000,352,-96,416,-131.459244,-8.03655,17.93819,132.9206441,579.6,-70.4,-67.84,78.72,125.51997450605224,395.25898789896104,790.5179757979221,1185.776963696883
107,18:10:20:525000,-160,-896,-640,-131.748688,-18.151529,11.255666,133.468666,579.6,-60.16,-76.8,80.0,126.16443872977837,395.25898789896104,790.5179757979221,1185.776963696883
108,18:10:20:796000,384,128,-480,-126.567741,-16.47654,6.25193,127.7887165,579.6,-50.56,-73.6,92.16,128.32279298706055,395.25898789896104,790.5179757979221,1185.776963696883
109,18:10:21:015000,-544,64,-192,-130.761749,-15.562042,4.233535,131.752552,579.6,-60.8,-60.8,104.32,135.18854389333438,395.25898789896104,790.5179757979221,1185.776963696883
110,18:10:21:088000,608,-160,160,-123.352402,-17.187508,5.809566,124.6794954,579.6,-45.44,-72.32,104.32,134.82447255598666,395.25898789896104,790.5179757979221,1185.776963696883
111,18:10:21:335000,-1056,-608,1504,-132.748886,-23.781141,20.862566,136.4663184,579.6,-71.04,-94.72,154.24,194.44417605060843,395.25898789896104,790.5179757979221,1185.776963696883
112,18:10:21:401000,608,-736,-1024,-125.223816,-31.733824,10.160542,129.5811572,579.6,-56.32,-112.64,133.76,183.7156759778544,395.25898789896104,790.5179757979221,1185.776963696883
113,18:10:21:493000,-160,384,-992,-125.578674,-27.078312,-0.210167,128.4651023,579.6,-49.92,-81.28,103.68,140.88288469505443,395.25898789896104,790.5179757979221,1185.776963696883
114,18:10:21:830000,256,448,-1152,-121.72171,-21.773903,-12.241194,124.258297,579.6,-51.2,-67.84,74.88,113.2727681307383,395.25898789896104,790.5179757979221,1185.776963696883
115,18:10:21:897000,-704,32,160,-127.592453,-21.174549,-10.420064,129.7565926,579.6,-74.24,-53.76,79.36,121.24242161883768,395.25898789896104,790.5179757979221,1185.776963696883
116,18:10:22:334000,608,-416,-192,-120.165321,-25.531313,-12.326324,123.4645317,579.6,-75.52,-62.72,85.76,130.3527767253157,395.25898789896104,790.5179757979221,1185.776963696883
117,18:10:22:391000,416,576,-608,-114.727829,-18.914793,-18.537086,117.7449264,579.6,-71.68,-16.0,65.92,98.68874707888433,395.25898789896104,790.5179757979221,1185.776963696883
118,18:10:22:482000,32,-1376,-320,-113.239098,-33.855267,-21.684513,120.1644312,579.6,-60.8,-45.44,49.28,90.49835357618392,395.25898789896104,790.5179757979221,1185.776963696883
119,18:10:22:573000,-32,-96,-1088,-112.420738,-34.550144,-32.768097,122.0896513,579.6,-64.64,-32.64,3.2,72.4840616963481,395.25898789896104,790.5179757979221,1185.776963696883
120,18:10:22:708000,32,608,-128,-110.978111,-27.436117,-33.768456,119.2023081,579.6,-70.4,-35.84,-14.08,80.2428314555263,395.25898789896104,790.5179757979221,1185.776963696883
121,18:10:22:799000,128,-288,-672,-108.607803,-30.325634,-40.415535,119.7861195,579.6,-66.56,-41.6,-27.52,83.17538097297782,395.25898789896104,790.5179757979221,1185.776963696883
122,18:10:23:048000,544,-608,-1376,-102.168137,-36.694134,-54.355946,121.4057517,579.6,-53.76,-59.52,-74.88,109.72594223792294,395.25898789896104,790.5179757979221,1185.776963696883
123,18:10:23:157000,1056,448,544,-90.705231,-31.34856,-48.011658,107.3093214,579.6,-22.4,-60.16,-72.32,96.7014374246836,395.25898789896104,790.5179757979221,1185.776963696883
124,18:10:23:290000,96,736,-448,-88.833473,-22.897728,-52.257874,105.5773521,579.6,-24.96,-56.32,-94.08,112.45439253315097,395.25898789896104,790.5179757979221,1185.776963696883
125,18:10:23:383000,0,320,-288,-87.948479,-19.105831,-54.753788,105.3467847,579.6,-28.8,-46.72,-110.08,123.00327150120845,395.25898789896104,790.5179757979221,1185.776963696883
126,18:10:23:475000,128,-352,-224,-85.81459,-22.771536,-56.535179,105.2564163,579.6,-14.08,-53.12,-131.84,142.83475207385632,395.25898789896104,790.5179757979221,1185.776963696883
127,18:10:23:563000,-64,320,32,-85.600227,-19.013592,-55.609924,103.8334204,579.6,-10.88,-48.0,-113.28,123.51005141283036,395.25898789896104,790.5179757979221,1185.776963696883
128,18:10:23:651000,672,0,32,-78.224846,-18.806,-54.702221,97.28887475,579.6,7.04,-45.44,-91.52,102.42199763722634,395.25898789896104,790.5179757979221,1185.776963696883
129,18:10:23:829000,64,352,0,-76.833038,-14.79974,-54.140305,95.14999032,579.6,-3.84,-43.52,-96.0,105.47386406119765,395.25898789896104,790.5179757979221,1185.776963696883
130,18:10:23:921000,2720,2528,-1792,-49.652161,12.578907,-71.829681,88.22170405,579.6,49.92,15.36,-117.76,128.8229544762889,395.25898789896104,790.5179757979221,1185.776963696883
131,18:10:24:010000,-448,0,0,-53.698509,12.438173,-71.081009,89.94858452,579.6,28.8,7.04,-131.84,135.13248018148707,395.25898789896104,790.5179757979221,1185.776963696883
132,18:10:24:098000,0,224,-96,-53.154274,14.779544,-71.338425,90.18305077,579.6,32.0,7.04,-113.92,118.5382976088319,395.25898789896104,790.5179757979221,1185.776963696883
133,18:10:24:240000,544,-1024,-224,-47.156479,3.361551,-72.900063,86.8875867,579.6,29.44,-14.08,-121.6,125.90281966659842,395.25898789896104,790.5179757979221,1185.776963696883
134,18:10:24:415000,-416,160,32,-50.867653,5.099549,-71.834648,88.16881634,579.6,8.96,-8.96,-122.88,123.53160567239462,395.25898789896104,790.5179757979221,1185.776963696883
135,18:10:24:508000,-64,512,224,-50.999424,10.679431,-68.854057,86.34739521,579.6,5.76,3.84,-121.6,121.79689322802942,395.25898789896104,790.5179757979221,1185.776963696883
136,18:10:24:597000,224,-192,384,-48.266735,8.450533,-64.310516,80.85129364,579.6,14.72,-4.48,-115.84,116.85741054806923,395.25898789896104,790.5179757979221,1185.776963696883
137,18:10:24:684000,-64,-96,160,-48.422382,7.309813,-62.062359,79.05628912,579.6,21.76,-16.0,-114.56,117.70085471227472,395.25898789896104,790.5179757979221,1185.776963696883
138,18:10:24:774000,-352,-640,-256,-51.397144,0.302368,-63.995365,82.08023257,579.6,7.68,-21.76,-124.8,126.91540489633242,395.25898789896104,790.5179757979221,1185.776963696883
139,18:10:24:909000,-160,-1408,-480,-52.457355,-14.973061,-68.116592,87.26876162,579.6,0.0,-32.64,-128.64,132.71631097947227,395.25898789896104,790.5179757979221,1185.776963696883
140,18:10:25:048000,96,576,-256,-51.018997,-8.455096,-69.974815,87.01092712,579.6,5.76,-37.76,-144.0,148.97984830170824,395.25898789896104,790.5179757979221,1185.776963696883
141,18:10:25:180000,160,-32,64,-48.988163,-8.714948,-68.65786,84.79205253,579.6,28.16,-59.52,-156.16,169.47436856350873,395.25898789896104,790.5179757979221,1185.776963696883
142,18:10:25:271000,96,-160,160,-47.60033,-10.367134,-66.426147,82.37537186,579.6,56.32,-49.92,-174.08,189.65177352189463,395.25898789896104,790.5179757979221,1185.776963696883
143,18:10:25:365000,32,-320,128,-46.843449,-13.722119,-64.538376,80.91852224,579.6,78.08,-56.96,-196.48,218.96419433322882,395.25898789896104,790.5179757979221,1185.776963696883
144,18:10:25:457000,0,96,-32,-46.401535,-12.538779,-64.224281,80.21896097,579.6,90.24,-61.44,-200.96,228.698606904371,395.25898789896104,790.5179757979221,1185.776963696883
145,18:10:25:546000,-224,192,32,-48.062847,-10.351651,-63.303703,80.15330781,579.6,103.04,-56.32,-212.48,242.76930283707617,395.25898789896104,790.5179757979221,1185.776963696883
146,18:10:25:770000,64,-64,0,-45.40435,-11.143336,-61.509544,77.26029342,579.6,97.28,-63.36,-217.6,246.63261746979046,395.25898789896104,790.5179757979221,1185.776963696883
147,18:10:25:866000,224,-160,-128,-42.930676,-12.69399,-62.131378,76.57994813,579.6,111.36,-68.48,-229.76,264.3486667263522,395.25898789896104,790.5179757979221,1185.776963696883
148,18:10:25:955000,-1184,384,1664,-53.368095,-8.592147,-46.116669,71.0543856,579.6,99.84,-65.28,-187.52,222.24593224623933,395.25898789896104,790.5179757979221,1185.776963696883
149,18:10:26:040000,1056,64,1376,-43.085274,-7.843388,-32.596817,54.59315021,579.6,91.52,-48.64,-161.28,191.71071540213916,395.25898789896104,790.5179757979221,1185.776963696883
150,18:10:26:134000,1024,-1760,1536,-33.069813,-25.757385,-17.408752,45.38854547,579.6,117.76,-85.12,-108.8,181.52209782833603,395.25898789896104,790.5179757979221,1185.776963696883
151,18:10:26:231000,-448,160,64,-37.009617,-23.812239,-16.603815,47.03638112,579.6,103.68,-60.16,-110.08,162.7463498822631,395.25898789896104,790.5179757979221,1185.776963696883
152,18:10:26:350000,-448,384,-1056,-40.907082,-19.570574,-26.796736,52.67316,579.6,97.28,-51.2,-119.04,162.0350579350037,395.25898789896104,790.5179757979221,1185.776963696883
153,18:10:26:486000,-32,448,416,-40.822727,-14.718573,-22.408079,48.83905645,579.6,98.56,-51.2,-115.84,160.48183448602524,395.25898789896104,790.5179757979221,1185.776963696883
154,18:10:26:577000,128,160,-32,-39.238609,-12.907524,-22.503038,47.03891295,579.6,97.92,-30.72,-96.0,140.52773676395702,395.25898789896104,790.5179757979221,1185.776963696883
155,18:10:26:759000,-384,64,288,-42.454262,-12.115788,-19.458612,48.24722025,579.6,108.16,-22.4,-96.0,146.34324582979565,395.25898789896104,790.5179757979221,1185.776963696883
156,18:10:26:893000,0,-32,-96,-42.059261,-12.318711,-20.206369,48.26001891,579.6,101.12,-21.12,-106.24,148.183151538898,395.25898789896104,790.5179757979221,1185.776963696883
157,18:10:27:036000,-320,0,352,-44.623569,-12.194217,-16.599886,49.14792014,579.6,97.92,-3.2,-86.4,130.6274335658479,395.25898789896104,790.5179757979221,1185.776963696883
158,18:10:27:208000,288,-96,-96,-41.566059,-13.032902,-17.367466,46.89587051,579.6,96.0,-7.68,-78.72,124.38577410620557,395.25898789896104,790.5179757979221,1185.776963696883
159,18:10:27:300000,-320,-576,-64,-44.118858,-18.620216,-17.814659,51.09352357,579.6,100.48,-20.48,-76.16,127.7341238667256,395.25898789896104,790.5179757979221,1185.776963696883
